14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45243.99
14707080701234567890001, 12345, p, pass, 01/01/2000, 2500, 500.6, 112.11
14707080701234567890139, 12345, c2, p, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, BEN, p, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 250000, 82500.00, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, TOM, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, Kate78, Zpt#$5, 10/05/1978, 4000, 0, 45233.99
14707080701234567890001, 12345, cust, pass, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890139, 12345, AnnaB, tWp54@, 20/10/1995, 2500, 500.6, 7890.25
14707080701234567890156, 12345, c2, pass, 10/05/1978, 4000, 0, 45233.99
